id,name,cat_id,category,sub_cat_id,subcategory,four_letter,four_letter_total_voted,enneagram,enneagram_total_voted,socionics,socionics_total_voted,instinctual_variant,instinctual_variant_total_voted,tritype,tritype_total_voted,temperaments,temperaments_total_voted,attitudinal_psyche,attitudinal_psyche_total_voted,big_5_SLOAN,big_5_SLOAN_total_voted,classic_jungian,classic_jungian_total_voted,letter_1,letter_1_percentage,letter_2,letter_2_percentage,letter_3,letter_3_percentage,letter_4,letter_4_percentage,four_letter_total_voted_binned
3268,William Blake,16,The Arts,3458,"Writers (Literature, Classic)",INFP,123,4w5,48,IEI,7,sx/sp,17,451.0,10,Melancholic [Dominant],10,ELVF,6,RLUAI,6,IN(F),5,I,0.93,N,0.97,F,0.76,P,0.54,50+
10697,Ricardo López (Björk Stalker),10,Noteworthy,94,Criminals,INFP,121,4w5,64,IEI,17,sx/sp,20,495.0,16,Melancholic [Dominant],22,EFVL,6,RLUEI,11,IN(F),3,I,0.98,N,0.94,F,0.93,P,0.97,50+
66273,Avan Jogia,1,Pop Culture,3423,Actors & Actresses (Canada),INFP,121,4w3,41,IEE,7,sp/sx,10,479.0,12,Sanguine [Dominant],8,FEVL,2,SCUEI,7,,0,I,0.57,N,0.98,F,0.92,P,0.97,50+
11587,J. D. Salinger,16,The Arts,82,"Writers (Literature, Modern)",INFP,120,4w5,56,IEI,7,sp/sx,16,469.0,15,Melancholic-Phlegmatic,8,,0,RLUAI,4,,0,I,0.98,N,0.97,F,0.92,P,0.89,50+
9742,Andrei Chikatilo,10,Noteworthy,94,Criminals,INFP,120,6w5,38,IEI,11,sx/sp,17,649.0,8,Melancholic-Phlegmatic,11,ELVF,6,RLUEI,9,IN(F),6,I,0.98,N,0.65,F,0.65,P,0.63,50+
29725,Hugh Laurie,1,Pop Culture,3424,Actors and Actresses (UK & Ireland),INFP,120,5w6,42,IEI,10,sp/sx,10,594.0,10,Phlegmatic-Sanguine,13,ELFV,1,SCUAI,6,IN(F),4,I,0.73,N,0.99,F,0.74,P,0.87,50+
38876,Asano Inio,16,The Arts,3440,Artists (Comics),INFP,118,4w5,58,IEI,9,sp/sx,9,459.0,4,Melancholic-Phlegmatic,13,ELVF,3,RLOEI,8,IN(F),3,I,1.0,N,0.97,F,0.92,P,0.99,50+
23612,Logan Lerman,1,Pop Culture,13,Actors and Actresses (USA),INFP,116,1w2,54,EII,8,sp/so,10,496.0,15,Sanguine-Phlegmatic,14,ELFV,1,RCOAI,2,ES(T),1,I,0.97,N,0.9,F,0.95,P,0.93,50+
36117,Kim Wonpil (DAY6),29,Kpop,1548,Kpop,INFP,116,9w1,53,EII,2,so/sp,13,629.0,15,Phlegmatic [Dominant],7,,0,RCUAI,1,,0,I,0.99,N,0.97,F,0.98,P,0.95,50+
282909,Björn Andrésen,1,Pop Culture,3425,Actors & Actresses (Europe),INFP,116,4w5,50,IEI,10,sp/so,13,469.0,11,Phlegmatic-Melancholic,12,ELVF,8,RLUAI,9,IN(F),3,I,1.0,N,0.9,F,0.89,P,0.84,50+
9728,Homer,16,The Arts,3458,"Writers (Literature, Classic)",INFP,115,4w5,48,IEI,13,sx/sp,7,458.0,12,Melancholic-Sanguine,10,ELVF,6,SCOAI,6,EN(F),5,I,0.8,N,0.97,F,0.92,P,0.93,50+
